name,primaryLanguage,languages,url,stargazers,watchers,forks,diskUsage
numpy-ml,{'name': 'Python'},{'totalCount': 1},https://github.com/ddbourgin/numpy-ml,{'totalCount': 8713},{'totalCount': 411},{'totalCount': 2458},10350
botpress,{'name': 'TypeScript'},{'totalCount': 7},https://github.com/botpress/botpress,{'totalCount': 8703},{'totalCount': 226},{'totalCount': 952},222637
EffectiveTensorflow,,{'totalCount': 0},https://github.com/vahidk/EffectiveTensorflow,{'totalCount': 8621},{'totalCount': 370},{'totalCount': 922},159
tfjs-core,{'name': 'TypeScript'},{'totalCount': 6},https://github.com/tensorflow/tfjs-core,{'totalCount': 8551},{'totalCount': 314},{'totalCount': 933},380006
the-gan-zoo,{'name': 'Python'},{'totalCount': 1},https://github.com/hindupuravinash/the-gan-zoo,{'totalCount': 8472},{'totalCount': 531},{'totalCount': 1783},2194
rasa,{'name': 'Python'},{'totalCount': 5},https://github.com/RasaHQ/rasa,{'totalCount': 8471},{'totalCount': 327},{'totalCount': 2675},877546
caffe2,{'name': 'Shell'},{'totalCount': 1},https://github.com/facebookarchive/caffe2,{'totalCount': 8466},{'totalCount': 546},{'totalCount': 1963},402959
onnx,{'name': 'PureBasic'},{'totalCount': 8},https://github.com/onnx/onnx,{'totalCount': 8447},{'totalCount': 426},{'totalCount': 1392},13708
sonnet,{'name': 'Python'},{'totalCount': 3},https://github.com/deepmind/sonnet,{'totalCount': 8343},{'totalCount': 462},{'totalCount': 1120},16737
TensorFlow-Tutorials,{'name': 'Jupyter Notebook'},{'totalCount': 2},https://github.com/Hvass-Labs/TensorFlow-Tutorials,{'totalCount': 8273},{'totalCount': 547},{'totalCount': 3801},67974
streamlit,{'name': 'TypeScript'},{'totalCount': 9},https://github.com/streamlit/streamlit,{'totalCount': 8253},{'totalCount': 179},{'totalCount': 736},68079
mit-deep-learning-book-pdf,{'name': 'Java'},{'totalCount': 1},https://github.com/janishar/mit-deep-learning-book-pdf,{'totalCount': 8156},{'totalCount': 364},{'totalCount': 1912},43565
awesome-aws,{'name': 'Python'},{'totalCount': 2},https://github.com/donnemartin/awesome-aws,{'totalCount': 8117},{'totalCount': 438},{'totalCount': 922},717
tutorials,{'name': 'Python'},{'totalCount': 2},https://github.com/MorvanZhou/tutorials,{'totalCount': 8076},{'totalCount': 623},{'totalCount': 4748},50482
MLAlgorithms,{'name': 'Python'},{'totalCount': 2},https://github.com/rushter/MLAlgorithms,{'totalCount': 8048},{'totalCount': 432},{'totalCount': 1369},11910
deep-learning-drizzle,,{'totalCount': 0},https://github.com/kmario23/deep-learning-drizzle,{'totalCount': 7758},{'totalCount': 509},{'totalCount': 1842},126
fashion-mnist,{'name': 'Python'},{'totalCount': 5},https://github.com/zalandoresearch/fashion-mnist,{'totalCount': 7758},{'totalCount': 297},{'totalCount': 1763},107730
bert-as-service,{'name': 'Python'},{'totalCount': 6},https://github.com/hanxiao/bert-as-service,{'totalCount': 7603},{'totalCount': 196},{'totalCount': 1482},9052
mit-deep-learning,{'name': 'Jupyter Notebook'},{'totalCount': 1},https://github.com/lexfridman/mit-deep-learning,{'totalCount': 7567},{'totalCount': 609},{'totalCount': 1702},65478
Winds,{'name': 'HTML'},{'totalCount': 6},https://github.com/GetStream/Winds,{'totalCount': 7487},{'totalCount': 221},{'totalCount': 482},61084
recommenders,{'name': 'Jupyter Notebook'},{'totalCount': 5},https://github.com/microsoft/recommenders,{'totalCount': 7427},{'totalCount': 232},{'totalCount': 1111},30626
